iter	Logloss
0	0.6852207179
1	0.6785121169
2	0.6717149513
3	0.6653493871
4	0.6575041124
5	0.6510508085
6	0.6455353785
7	0.6395818462
8	0.6341120425
9	0.6291540924
10	0.6227212664
11	0.616997311
12	0.611861839
13	0.6052464062
14	0.6001873175
15	0.5941739039
16	0.5879911975
17	0.5826906364
18	0.5779560572
19	0.5728047078
20	0.5688701764
21	0.565103305
22	0.5613501391
23	0.5572454229
24	0.5517390069
25	0.5468164589
26	0.5430217695
27	0.5385828527
28	0.5345630637
29	0.5310364917
30	0.5267476092
31	0.5221015176
32	0.5180288477
33	0.5140532656
34	0.5104662488
35	0.5076079776
36	0.5046018437
37	0.5008090042
38	0.4974143943
39	0.4943200524
40	0.4916619213
41	0.4877638431
42	0.4845499214
43	0.4810007248
44	0.4774159297
45	0.4744204675
46	0.4711414618
47	0.4682037847
48	0.4655548604
49	0.4619508384
50	0.4595227793
51	0.4573587281
52	0.455760061
53	0.4526791103
54	0.4495316229
55	0.4468379585
56	0.4438908508
57	0.4412791949
58	0.4386520456
59	0.4358341238
60	0.4338378716
61	0.4317043644
62	0.4298313711
63	0.4275873792
64	0.4253206226
65	0.4231326806
66	0.4201953228
67	0.4179348127
68	0.4163514971
69	0.4145816677
70	0.4122260098
71	0.4098427469
72	0.4071158573
73	0.4045422856
74	0.4025108853
75	0.4010939515
76	0.3988268283
77	0.3970500537
78	0.3948695014
79	0.3934629439
80	0.3915696017
81	0.3893468324
82	0.3874002918
83	0.385440119
84	0.383237563
85	0.3814280325
86	0.3791116683
87	0.3772675554
88	0.3747480393
89	0.372862417
90	0.370879336
91	0.3693743125
92	0.3672662901
93	0.366553367
94	0.3649073848
95	0.3634482062
96	0.3618178805
97	0.3600755541
98	0.3581931659
99	0.3568661283
100	0.3552906275
101	0.3539844872
102	0.3524566648
103	0.350250464
104	0.348685232
105	0.3473778027
106	0.346780749
107	0.3449126773
108	0.3434453245
109	0.3416267754
110	0.3398024698
111	0.3382005825
112	0.3367353707
113	0.3355084009
114	0.3343274891
115	0.3330578063
116	0.3316268799
117	0.3300308529
118	0.3289460337
119	0.3274779714
120	0.3265218216
121	0.3249799087
122	0.3239809796
123	0.3229049589
124	0.3221923935
125	0.3211688088
126	0.3199394685
127	0.3189480427
128	0.3179992326
129	0.3168296012
130	0.3158921563
131	0.3150905066
132	0.3141206318
133	0.3131381362
134	0.3117884301
135	0.3105396635
136	0.3093624272
137	0.3083772635
138	0.3072275103
139	0.3062182873
140	0.3054835489
141	0.3043148998
142	0.3033830782
143	0.3022900882
144	0.3013895498
145	0.3008080922
146	0.3001342137
147	0.2991573828
148	0.298220301
149	0.2978965681
150	0.2969213864
151	0.2958643241
152	0.2948055432
153	0.2938899342
154	0.2930837716
155	0.29194507
156	0.2910492858
157	0.2903153905
158	0.2894859939
159	0.2886163787
160	0.2880076798
161	0.2871933627
162	0.2861658505
163	0.2852875027
164	0.284426141
165	0.2833588839
166	0.282566313
167	0.2818897905
168	0.28120412
169	0.280217349
170	0.2793383056
171	0.2789997014
172	0.2782649465
173	0.2771573409
174	0.2762735051
175	0.2749893472
176	0.2743423531
177	0.2736723934
178	0.2729873355
179	0.2721851843
180	0.2713562253
181	0.2703504112
182	0.2697157474
183	0.2688753096
184	0.2684069542
185	0.2677546649
186	0.2672740974
187	0.2664065374
188	0.2654779088
189	0.2648727823
190	0.2641137637
191	0.2635000787
192	0.2628252701
193	0.2619516399
194	0.2613181547
195	0.2603824029
196	0.2596771455
197	0.2585588038
198	0.2579061999
199	0.2573158837
200	0.2566520779
201	0.255902664
202	0.255186348
203	0.2543826982
204	0.2536458719
205	0.2527498996
206	0.2520308607
207	0.2512508659
208	0.2507866597
209	0.2501960385
210	0.249526874
211	0.2489823368
212	0.2485028022
213	0.2478722897
214	0.2471479009
215	0.2463587203
216	0.2454236538
217	0.2446803933
218	0.2439353748
219	0.2432655085
220	0.2428125856
221	0.2422982408
222	0.2419471025
223	0.2412841204
224	0.2408209373
225	0.2402764378
226	0.2397468115
227	0.2392375697
228	0.2386068527
229	0.2379848394
230	0.2373813166
231	0.2366194109
232	0.2361535024
233	0.235205571
234	0.2346066159
235	0.2341992565
236	0.2334959325
237	0.2329097545
238	0.2323475552
239	0.231963525
240	0.2316407794
241	0.2311792012
242	0.2306488958
243	0.2301036559
244	0.2296121262
245	0.2291081611
246	0.2286338467
247	0.2282515707
248	0.2279049971
249	0.2274377528
250	0.2269561649
251	0.2264766108
252	0.2258148055
253	0.2252954726
254	0.2248639972
255	0.2244416548
256	0.2237371275
257	0.2229903262
258	0.2225484858
259	0.2218742109
260	0.2213742244
261	0.2208320525
262	0.22032841
263	0.2198602706
264	0.2194439601
265	0.2189450699
266	0.2185669857
267	0.2180370603
268	0.2174285275
269	0.2166096909
270	0.215925622
271	0.2155493869
272	0.2150126282
273	0.2144910882
274	0.2140095799
275	0.2135627933
276	0.212887209
277	0.2125982038
278	0.2121144373
279	0.2115837577
280	0.2112917778
281	0.2108657537
282	0.2102350255
283	0.2095937986
284	0.2089687011
285	0.2085255901
286	0.2083696496
287	0.2078647714
288	0.2073305213
289	0.2068900125
290	0.206434725
291	0.2059640668
292	0.2055913743
293	0.2050621293
294	0.2048084727
295	0.204521039
296	0.2040388149
297	0.2035276396
298	0.2031005588
299	0.2026450899
