iter	Passed	Remaining
0	4	1457
1	10	1618
2	16	1594
3	18	1388
4	24	1439
5	29	1434
6	34	1424
7	38	1419
8	41	1330
9	46	1340
10	50	1333
11	55	1322
12	59	1321
13	64	1321
14	68	1300
15	73	1300
16	77	1293
17	82	1288
18	88	1301
19	92	1295
20	97	1299
21	100	1271
22	106	1277
23	111	1280
24	116	1281
25	121	1277
26	125	1269
27	130	1263
28	136	1277
29	141	1273
30	145	1266
31	150	1259
32	153	1243
33	159	1249
34	166	1260
35	171	1256
36	174	1242
37	180	1241
38	185	1240
39	190	1235
40	194	1229
41	200	1228
42	205	1225
43	209	1218
44	214	1217
45	220	1217
46	225	1213
47	229	1205
48	234	1199
49	238	1194
50	244	1194
51	250	1193
52	253	1182
53	257	1175
54	262	1169
55	268	1169
56	272	1162
57	276	1153
58	281	1150
59	286	1145
60	290	1138
61	296	1136
62	301	1135
63	305	1128
64	313	1134
65	318	1128
66	322	1121
67	327	1116
68	330	1106
69	334	1100
70	339	1093
71	343	1088
72	348	1085
73	354	1083
74	362	1087
75	368	1085
76	375	1087
77	381	1085
78	388	1087
79	393	1083
80	400	1081
81	405	1077
82	410	1074
83	415	1068
84	421	1066
85	426	1061
86	431	1057
87	436	1052
88	441	1047
89	447	1043
90	452	1039
91	457	1033
92	462	1030
93	467	1024
94	471	1018
95	478	1015
96	482	1010
97	488	1006
98	493	1002
99	498	996
100	503	991
101	509	988
102	513	982
103	517	976
104	524	973
105	532	975
106	536	966
107	539	958
108	544	953
109	549	949
110	557	948
111	561	942
112	565	936
113	571	931
114	575	925
115	579	919
116	584	913
117	588	907
118	592	901
119	597	896
120	602	891
121	607	885
122	611	880
123	616	875
124	621	870
125	626	864
126	630	858
127	635	853
128	639	847
129	643	841
130	647	835
131	651	829
132	659	828
133	664	822
134	668	817
135	672	811
136	677	805
137	682	801
138	686	795
139	692	791
140	696	785
141	701	780
142	705	774
143	709	768
144	714	763
145	719	758
146	725	755
147	730	749
148	737	746
149	739	739
150	743	733
151	748	729
152	753	724
153	758	718
154	762	713
155	766	707
156	770	701
157	774	696
158	778	690
159	784	686
160	790	682
161	796	678
162	801	673
163	805	668
164	810	663
165	816	659
166	821	653
167	825	648
168	831	644
169	835	638
170	839	632
171	843	627
172	848	622
173	854	618
174	858	613
175	863	608
176	867	602
177	872	598
178	878	593
179	883	588
180	887	583
181	892	578
182	896	573
183	901	568
184	905	563
185	909	557
186	914	552
187	919	548
188	924	543
189	929	537
190	933	532
191	939	528
192	945	524
193	950	519
194	954	514
195	959	509
196	964	504
197	969	499
198	978	496
199	983	491
200	988	486
201	994	482
202	998	477
203	1004	472
204	1012	468
205	1017	464
206	1021	459
207	1026	454
208	1031	449
209	1036	444
210	1040	439
211	1046	434
212	1051	429
213	1056	424
214	1060	419
215	1066	414
216	1071	409
217	1077	405
218	1082	400
219	1087	395
220	1097	392
221	1101	386
222	1108	382
223	1117	379
224	1122	374
225	1131	370
226	1138	366
227	1142	360
228	1146	355
229	1151	350
230	1156	345
231	1160	340
232	1165	335
233	1170	330
234	1175	325
235	1180	320
236	1185	315
237	1192	310
238	1197	305
239	1202	300
240	1207	295
241	1211	290
242	1215	285
243	1220	280
244	1224	274
245	1229	269
246	1234	264
247	1239	259
248	1247	255
249	1251	250
250	1256	245
251	1261	240
252	1266	235
253	1270	230
254	1274	224
255	1279	219
256	1286	215
257	1290	210
258	1294	204
259	1298	199
260	1303	194
261	1307	189
262	1312	184
263	1318	179
264	1323	174
265	1328	169
266	1333	164
267	1338	159
268	1343	154
269	1348	149
270	1353	144
271	1358	139
272	1365	135
273	1369	129
274	1374	124
275	1379	119
276	1383	114
277	1389	109
278	1394	104
279	1401	100
280	1405	95
281	1409	89
282	1414	84
283	1420	80
284	1426	75
285	1430	70
286	1434	64
287	1439	59
288	1445	55
289	1449	49
290	1454	44
291	1459	39
292	1464	34
293	1468	29
294	1472	24
295	1478	19
296	1483	14
297	1487	9
298	1493	4
299	1498	0
